formula,c_11,c_12,c_13,c_22,c_23,c_33
Mo2As2,47.056469526942,70.598701964475,-0.0,47.056469526942,-0.0,31.181858004366003
Mo2Br2,7.458739613436,0.8166044655540001,-0.0,7.458739613436,-0.0,-0.7362372424290001
Mo2Cl2,29.162169985869003,23.154118451205,0.0,29.162169985869003,0.0,-0.19567352245199998
Mo2F2,5.192898271539,63.51367453098301,-0.0,5.192898271539,-0.0,5.559611614452
Mo2I2,5.986356976833,6.500009158095001,0.0,5.986356976833,0.0,3.2377795763069996
Mo2N2,130.901324761356,91.09948965558901,-0.0,130.901324761356,0.0,60.89061695574
Mo2O2,144.854783073399,29.571592767357004,0.0,144.854783073399,0.0,29.107465165191
Mo2P2,42.391147632123,20.460172392753,0.0,42.391147632123,0.0,32.922621242079
Mo2S2,44.937732350253,24.309606238407003,0.0,44.937732350253,-0.0,12.989933377791
Mo2Se2,20.173954860522,36.630204642711,0.0,20.173954860522,0.0,8.092235397822
Nb2As2,63.127709793822,8.400331184394,-0.0,63.127709793822,0.0,-3.633682294659
Nb2Br2,54.39492466563,96.141168960096,0.0,54.39492466563,0.0,24.437495748669
Nb2Cl2,48.972258799383,105.02770806715802,0.0,48.972258799383,0.0,25.418012610096
Nb2F2,18.89410453605,108.20876216117699,0.0,18.89410453605,0.0,-0.9719014951080001
Nb2I2,56.64318625152,80.521399605843,-0.0,56.64318625152,0.0,32.191307066118
Nb2N2,122.614573129095,12.821318351262,0.0,122.614573129095,0.0,49.21978984660801
Nb2O2,56.261703709203005,109.706329589301,0.0,56.261703709203005,-0.0,90.318503943324
Nb2P2,-12.254596248261,99.59749227434999,-0.0,-12.254596248261,0.0,9.083112742413
Nb2S2,-14.636974656102,38.457139913264996,0.0,-14.636974656102,-0.0,42.334477258788
Nb2Se2,75.40174113284101,73.546718665908,0.0,75.40174113284101,0.0,-32.993215810872
Nb2Te2,73.390209239388,59.108411785371004,0.0,73.390209239388,0.0,-31.091405842842
Ni2As2,57.817613148903,17.743833729732,0.0,57.817613148903,0.0,-27.582086085453
Ni2Br2,15.976305910512,28.087141270047,-0.0,15.976305910512,0.0,7.651051489755001
Ni2Cl2,16.276319050644002,-3.9359181625620003,0.0,16.276319050644002,0.0,2.398378373862
Ni2F2,72.17494660783201,32.640242966907,0.0,72.17494660783201,0.0,5.105275036269
Ni2I2,33.418509970824005,0.703484154696,0.0,33.418509970824005,0.0,0.424302198798
Ni2N2,188.654974785477,56.358364812765,0.0,188.654974785477,0.0,39.021933202911
Ni2O2,59.233251933567004,48.116159584179,0.0,59.233251933567004,0.0,38.176157731569
Ni2P2,73.44985549618501,34.090196259639,0.0,73.44985549618501,0.0,-29.388961697115004
Ni2S2,43.296679578168,45.662488560807006,0.0,43.296679578168,-0.0,-26.270511373704
Ni2Se2,28.092174554421,13.593155977329001,-0.0,28.092174554421,-0.0,22.015181719554
Ni2Te2,6.121612717145999,28.438442475770998,-0.0,6.121612717145999,0.0,22.615850937603003
Os2Br2,68.047341137085,57.349444223517004,-0.0,68.047341137085,-0.0,45.595365856053
Os2Cl2,121.26895945404301,134.839575869595,0.0,121.26895945404301,0.0,36.431647085052
Os2F2,94.260686156877,166.108432541097,0.0,94.260686156877,0.0,52.12482156470101
Os2I2,70.486426657563,133.51815502491002,-0.0,70.486426657563,0.0,-39.321781016184005
Os2N2,140.09932130112298,129.615320603799,0.0,140.09932130112298,0.0,102.129344532378
Os2O2,37.962188036721,234.083250296034,-0.0,37.962188036721,0.0,34.640844918015006
Os2S2,83.112879751017,60.926970495069,-0.0,83.112879751017,0.0,70.126528455171
Os2Se2,98.06061379308599,39.004500404112,0.0,98.06061379308599,0.0,49.318765526196
P2Au2,65.57759666908801,28.021947378648004,0.0,65.57759666908801,0.0,-4.897275477996001
P2Ir2,111.608231405586,61.81194680164501,0.0,111.608231405586,0.0,78.108509207691
P2Os2,26.840760449697,112.63472750346601,-0.0,26.840760449697,0.0,62.70575891035201
P2Pb2,23.124782118558002,20.129022694176,0.0,23.124782118558002,0.0,5.608915757736
P2Pd2,60.215403693933,37.010934029337,0.0,60.215403693933,0.0,-19.164671125629
P2Pt2,68.195510742051,40.49442605742,0.0,68.195510742051,0.0,-5.692662996645
P2Rh2,88.648133208243,58.443320201265,0.0,88.648133208243,0.0,69.879879151194
P2Ru2,103.87470018284101,41.708696727822,0.0,103.87470018284101,-0.0,63.30938564221201
P2W2,43.119853317642,53.726710240854,0.0,43.119853317642,0.0,62.011257514995
